Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
SNDK, SanDisk Corporation, 75.27, 0.37,0.49, 2378596, .1,
SBAC, SBA Communications Corporation, 108.53, 1.63,1.52, 1052280, .2,
STX, Seagate Technology., 34.45, 0.68,2.01, 4338688, .2,
SIRI, Sirius XM Holdings Inc., 4.09, 0.03,0.74, 22777809, .2,
SWKS, Skyworks Solutions Inc., 87.92, 4.48,5.37, 5107296, .0,
SPLS, Staples Inc., 12.36, 0.4,3.34, 11929149, .2,
SBUX, Starbucks Corporation, 61.75, 2.2,3.69, 9058162, 1.5,
SRCL, Stericycle Inc., 116.64, 3,2.64, 1590242, .2,
SYMC, Symantec Corporation, 20.04, 0.33,1.67, 8713260, .2,
TSLA, Tesla Motors Inc., 230.38, -2.33,-1, 2568839, -.3,
TXN, Texas Instruments Incorporated, 58.88, 1.19,2.06, 6371084, 1.1,
KHC, The Kraft Heinz Company, 72.22, 0.76,1.06, 4479306, .0,
PCLN, The Priceline Group Inc., 1300.48, 20.4,1.59, 553745, .9,
TSCO, Tractor Supply Company, 88.04, 2.38,2.78, 1409573, .3,
TRIP, TripAdvisor Inc., 84.37, 1.23,1.48, 1710154, .1,
FOX, Twenty-First Century Fox Inc., 30, 0.29,0.98, 6165930, .0,
FOXA, Twenty-First Century Fox Inc., 29.33, 0.3,1.03, 11351702, .4,
VRSK, Verisk Analytics Inc., 75.32, 1.17,1.58, 650736, .2,
VRTX, Vertex Pharmaceuticals Incorporated, 125.17, 3.11,2.55, 1651860, .6,
VIAB, Viacom Inc., 46.22, -0.51,-1.09, 3993813, -.2,
VIP, VimpelCom Ltd., 3.43, 0.16,4.89, 2982374, .2,
VOD, Vodafone Group Plc, 32.88, 0.24,0.74, 4702219, .1,
WBA, Walgreens Boots Alliance Inc., 84.62, 2.68,3.27, 4684655, .0,
WDC, Western Digital Corporation, 64.58, 0.96,1.51, 3216247, .2,
WFM, Whole Foods Market Inc., 29.52, -0.44,-1.47, 6199035, -.1,
WYNN, Wynn Resorts Limited, 64.6, -0.48,-0.74, 4229746, .0,
XLNX, Xilinx Inc., 48.97, 0.5,1.03, 2780127, .1,
YHOO, Yahoo! Inc., 34.91, 0.57,1.66, 16063059, .5,
