REGN;360,05;5;360,04;0;N;360,42;1;360,43;0;N
ROST;75,37;300;75,36;0;N;75,38;486;75,39;0;N
SBAC;111,85;159;111,84;0;N;111,88;600;111,89;0;N
SBUX;76,1;800;76,09;1416;Y;76,11;650;76,12;1649;Y
SIRI;3,59;621633;3,58;296783;N;3,61;296774;3,62;0;N
SNDK;101,81;857;101,8;850;N;101,88;600;101,89;0;N
SPLS;13,03;12855;13,02;10587;N;13,05;8340;13,06;0;N
SRCL;116,79;360;116,78;457;Y;116,87;1;116,88;0;N
STX;58,55;843;58,54;922;Y;58,56;700;58,57;0;N
SWKS;57,57;701;57,56;0;N;57,59;976;57,6;676;N
SYMC;24,37;4602;24,36;0;N;24,42;3650;24,43;3550;N
TRIP;97,95;200;97,94;0;N;97,99;84;98;109;Y
TSCO;60,96;600;60,95;663;Y;61,01;799;61,02;764;N
TSLA;258,9;15;258,89;0;N;259,08;388;259,09;0;N
TXN;48,84;1770;48,83;1674;N;48,87;2052;48,88;0;N
VIAB;80,92;1469;80,91;0;N;80,96;400;80,97;1173;Y
VIP;7,94;3967;7,93;4367;Y;7,99;4279;8;5523;Y
VOD;33,23;5594;33,22;4938;N;33,26;4687;33,27;0;N
VRSK;64,04;300;64,03;400;Y;64,11;750;64,12;400;N
VRTX;104,62;100;104,61;0;N;104,55;100;104,56;0;N
WBA;;;;;N;;;;;N
WDC;98,41;3;98,4;0;N;98,42;309;98,43;0;N
WFM;39,04;904;39,03;1607;Y;39,07;515;39,08;1398;Y
WYNN;184,49;100;184,48;100;Y;184,58;100;184,59;0;N
XLNX;44,02;1850;44,01;2254;Y;44,04;1069;44,05;1295;Y
YHOO;40,66;5034;40,65;4799;N;40,69;1220;40,7;3986;Y
