ORLY,154.0100,188,154.0000,31,N,154.0800,500,154.0900,173,N
PCAR,59.7600,400,59.7500,0,N,59.7800,978,59.7900,0,N
PAYX,42.7600,1300,42.7500,1821,Y,42.7700,1100,42.7800,2050,Y
PYPL,,,,,N,,,,,N
QCOM,75.7200,700,75.7100,1050,Y,75.7300,956,75.7400,0,N
REGN,360.0300,100,360.0200,0,N,360.4300,110,360.4400,8,N
ROST,75.3100,400,75.3000,789,Y,75.3600,369,75.3700,0,N
SNDK,101.8700,423,101.8600,501,Y,101.9200,403,101.9300,550,Y
SBAC,111.8300,200,111.8200,0,N,111.8700,200,111.8800,0,N
STX,58.5400,508,58.5300,0,N,58.5700,312,58.5800,605,Y
SIRI,3.5900,621846,3.5800,0,N,3.6100,296674,3.6200,0,N
SWKS,57.5200,1050,57.5100,0,N,57.5900,576,57.6000,0,N
SPLS,13.0200,9987,13.0100,6785,N,13.0400,9224,13.0500,9024,N
SBUX,76.0900,2233,76.0800,0,N,76.1200,2606,76.1300,968,N
SRCL,116.8100,778,116.8000,0,N,116.8400,101,116.8500,0,N
SYMC,24.3300,7148,24.3200,6316,N,24.3700,2641,24.3800,0,N
TSLA,258.9900,200,258.9800,0,N,259.0000,100,259.0100,0,N
TXN,48.8400,1570,48.8300,0,N,48.8500,2043,48.8600,1712,N
KHC,,,,,N,,,,,N
PCLN,1190.2500,138,1190.2400,0,N,1191.0800,2,1191.0900,100,Y
TSCO,60.9500,570,60.9400,383,N,60.9800,300,60.9900,0,N
TRIP,97.9000,24,97.8900,181,Y,97.9700,105,97.9800,135,Y
FOX,34.0700,5013,34.0600,3250,N,34.0800,203,34.0900,0,N
FOXA,35.1200,3900,35.1100,4901,Y,35.1400,4207,35.1500,0,N
VRSK,64.0200,100,64.0100,100,Y,64.0600,462,64.0700,562,Y
VRTX,104.5100,100,104.5000,0,N,104.5500,100,104.5600,0,N
VIAB,80.9200,470,80.9100,0,N,80.9400,200,80.9500,1550,Y
VIP,7.9700,3171,7.9600,9063,Y,7.9800,1100,7.9900,3879,Y
VOD,33.2400,2702,33.2300,5952,Y,33.2500,4315,33.2600,4587,Y
WBA,,,,,N,,,,,N
WDC,98.4000,1,98.3900,200,Y,98.4200,100,98.4300,0,N
WFM,39.0500,1318,39.0400,0,N,39.0600,1066,39.0700,1027,N
WYNN,184.4100,290,184.4000,0,N,184.4700,114,184.4800,0,N
XLNX,44.0200,1550,44.0100,0,N,44.0300,1032,44.0400,0,N
YHOO,40.6600,2719,40.6500,0,N,40.7200,3112,40.7300,3195,Y
